,Unnamed: 0,username,content,date,country,sentiment
0,0,memo_ramos_,@JoeBiden you suck!,2020-10-23 02:42:15+00:00,Mexico,Pro Biden
1,1,VicoZanetti,"Premio Fassino 2020 , the winner is Matteo Salvini the italian (Cher) leader... 
Biden won. #bidenharis2020 #2020Election #ByeByeTrump https://t.co/1wsYh8pwXG",2020-11-07 19:13:57+00:00,Ukraine,Pro Biden
2,2,ambeecious,@SJosephBurns Donald trump,2020-11-24 16:15:29+00:00,India,Pro Trump
3,3,erikgeddes,Get him in the bin! #DUMPTRUMP,2020-11-06 14:28:39+00:00,UK,Pro Biden
4,4,TheBeardedWit,Why don’t we just all report all @realDonaldTrump’s tweets for the patent bullshit they are? #reportthedrumpf #dumptrump from Twitter.,2020-12-12 20:55:42+00:00,UK,Pro Biden
5,5,PerryCavalari,Throwback #fucktrump https://t.co/ON0s3RA1Mm,2020-11-08 03:36:49+00:00,South Korea,Pro Biden
6,6,tyngyd,"‘We’re not stupid! #DonaldTrump  is a genius, that’s what the J stands for.’

I rest my case... https://t.co/g35kjjsT7r",2020-11-18 13:48:21+00:00,UK,Pro Trump
7,7,ZZCOOL,@ConsultingLexi @mike1165 @danisgrande It's sortof like a cutting a family member out for voting for trump if it's actual homophobia that hurts people I understand but usually it's just misunderstandood opinions that aren't used to hurt anyone so you gamble with family contact to get them to change because you said so,2020-12-30 23:49:28+00:00,UK,Pro Biden
8,8,CllrMikePowell,"@IsabelOakeshott @Nigel_Farage And he lost 10k betting Trump to win, thoughts and prayers, thoughts and prayers.  🤣🤣🤣🤣🤣",2020-12-30 23:39:38+00:00,UK,Pro Biden
9,9,iamshooRen,I sense #Trump wining again! #USElection #Election2020,2020-11-04 05:37:36+00:00,China,Pro Biden
10,10,alfonsoroldan4,@JackGuercio @ChairosY Trump!,2020-10-23 04:27:03+00:00,Mexico,Pro Trump
11,11,scienceduck,Trump must be losing his mind right now #peepeecomanderinchief #TrumpMeltdown #TrumpIsLosing,2020-11-06 14:51:50+00:00,Canada,Pro Biden
12,12,simondnoble,"@scottdesigns @WaterfrontPatio @jane_austen21 @Barnes_Law @Rasmussen_Poll Ya'll close to sedition? What half the country? 74 million voters who believe the election was rigged for the racist Beijing Biden?

The propaganda vacuum is CNN NBC and the likes. They are left wing.

America needs an enema and swiftly. Civil war is brewing",2020-12-29 12:27:59+00:00,UK,Pro Trump
13,13,Tenga30072097,This is history of truth and justice Tibetan and Thank You #DonaldTrump and his administration https://t.co/OdS9DGZnak,2020-12-28 09:21:46+00:00,India,Pro Trump
14,14,helinmartini,""" I love seeing TRUMP lose, it's my daily medicine, my weekly energy, my monthly inspiration and my yearly motivation. His loss is the only reason i'm still alive, i was born to love and enjoy the failure that he has achieved ""
#ByeByeTrump https://t.co/D4vBswc4MW",2020-11-07 22:48:10+00:00,UK,Pro Biden
15,15,wilkrichard2,As soon as I put Fox News on Sleepy Joe Biden is on TV of course he’s trashing our president but his words are so evil I never heard such a thing from his 👄 Mouth,2020-09-06 16:22:19+00:00,Canada,Pro Trump
16,16,trajanojorge,"@KamalaHarris @Antonio50704191 @JoeBiden Lula said that - first we save people and the economy comes together.
 They are on the right path !!!",2020-11-23 01:49:53+00:00,Brazil,Pro Biden
17,17,mcmadal,One of the best #Biden news https://t.co/BJP7klundm,2020-12-13 05:47:58+00:00,UK,Pro Trump
18,18,JChaisse,Trump pulling dozens of diplomats out of Iraq https://t.co/y4SHc6aAaD via @politico,2020-12-02 23:37:30+00:00,South Korea,Pro Trump
19,19,MattJoThump,"That was a good season ending to the series. 
#ByeByeTrump #YoureFiredTrump",2020-11-07 20:09:06+00:00,India,Pro Biden
20,20,TavulliaWez,Some good news on this shit #NoDealBrexit #Johnsonisatwat day #Trump #BritainTrump #SupremeCourt https://t.co/wVtHTGY8uy,2020-12-12 00:33:41+00:00,UK,Pro Biden
21,21,Jean05990464,"@realDonaldTrump @nypost That's like the reverse Donald the 
Lying liar don so many shady deals 
Just ask his first lawyer you would know trump is a racist a supporter of
While supremacy, tax cheat and on.",2020-10-18 18:50:23+00:00,Canada,Pro Trump
22,22,AlexIsACanadian,Just learned this morning that @JoeBiden has won the presidency for the 6th time. Congrats.,2020-12-05 15:17:15+00:00,Canada,Pro Biden
23,23,kabir_shrabon,"@OANN Mr.Trump why u do it unnecessary.
please stopped nonchalance and takeov over power",2020-12-02 23:45:27+00:00,China,Pro Biden
24,24,loveforcambridg,My account is dedicated to the Cambridges so I’m sorry for the political retweets.. but it’s a historical day and it’s a beautiful one! Thank you USA for doing the right thing and congratulations @JoeBiden and @KamalaHarris for your victory! I’m so happy 🇺🇸❤️💙❤️💙❤️💙,2020-11-07 17:31:47+00:00,Brazil,Pro Biden
25,25,jewlicious,@GuidyMamann That hardly counts as “election fraud.” The ballots were segregated and everything was out in the open. Trump lost.,2020-11-13 07:00:02+00:00,Iran,Pro Biden
26,26,Daulats57726115,@kpsharmaoli @JoeBiden @KamalaHarris Congratulations,2020-11-08 03:26:16+00:00,China,Pro Biden
27,27,spydermage14,@HawleyMO @Walmart You just want the spotlight for a few minutes.  You know you have no proof and you know that nothing will change.   Did someone not love you enough that you need this attention or did Trump promise you something?,2020-12-30 21:17:33+00:00,Canada,Pro Trump
28,28,BBerlajolli,@realDonaldTrump It's Christmas. Can you stop for one day? Lying today may not go well with your blind Christian supporters. It only takes a flake to turn them. #TrumpDesecratingChristmas #TrumpLies #NotLongToTheEnd.,2020-12-25 04:14:41+00:00,UK,Pro Biden
29,29,mehmetgorgin,@realDonaldTrump President Trump -Even if anything happened something happened. #MSNBC2020 #VoteBlueToEndTheNightmare #VoteHimOut #Election Day,2020-11-04 21:07:55+00:00,Russia,Pro Biden
30,30,FaribaRahimi2,"It seems like Democrats are cheating the vote counting in Michigan and Arizona!
#trump2020",2020-11-04 18:06:22+00:00,UK,Pro Trump
31,31,jonelkon,"@realDonaldTrump Hey #MAGA ists! I hope you realise this is all a scam to raise money for him! He’ll need a lot to pay his legal bills once they arrest him for fraud. He’s even raising money by charging his own criminal gang for pardons. Come on folks, stop being victims of a conman!",2020-12-03 10:30:17+00:00,UK,Pro Trump
32,32,1humano1voto,"Some gender studies major wrote this tweet for you. You don’t even know what a Mexican Jew looks like! Answer the questions about your corruption!!!!

We voted for #Trump2020

@realDonaldTrump if you want me to campaign in Spanish for you, I will.

@JoeBiden no tienes huevos!!!!! https://t.co/Dr4Dmnjx8b",2020-10-28 13:58:24+00:00,Mexico,Pro Trump
33,33,tweetter_s,"YOU ARE FIRED, DONALD TRUMP!!",2020-11-07 17:31:24+00:00,Brazil,Pro Biden
34,34,Pedra_da_Linha,"""And may god protect our troops"" 
The ones you gonna defund, and call for help when you need ain't that right? 
#Trump2020 #TrumpvsBiden #TRUMP2020ToSaveTheWorld https://t.co/T1cHnrrVki",2020-11-04 22:42:03+00:00,UK,Pro Trump
